size,implementation,time,gflops,bytes_accessed,operational_intensity
256,serial,0.012162,2.76,1572864,21.33
256,vectorized,0.009533,1.76,1572864,10.67
512,serial,0.100670,2.67,6291456,42.67
512,vectorized,0.102628,1.31,6291456,21.33
1024,serial,0.803454,2.67,25165824,85.33
1024,vectorized,0.947034,1.13,25165824,42.67
100,serial,0.000652,3.07,240000,8.33
100,vectorized,0.000490,2.04,240000,4.17
356,serial,0.032741,2.76,3041664,29.67
356,vectorized,0.026860,1.68,3041664,14.83
822,serial,0.409788,2.71,16216416,68.50
822,vectorized,0.415889,1.34,16216416,34.25
